관리번호,설치장소명,경도,위도
천연동-1,독립문 광장 앞 횡단보도,126.9597216,37.5723112
천연동-2,독립문문화공원 입구,126.9606096,37.5716321
북아현동-1,302동 앞 삼거리,126.9564443,37.5591247
북아현동-2,앞  횡단보도,126.9521645,37.5573721
북아현동-3,402동 앞 북아현로입구 버스정거장,126.955964,37.5578402
북아현동-4,대한예수교장로회 영광교회,120.0,35.0
북아현동-5,경사형 엘리베이터 시작점(아래),126.949009,37.5571959
북아현동-6,101동 앞 삼거리,126.9501539,37.558266
북아현-BN0001,아이디헤어 (또는 인라인스케이트),126.9518146,37.557332
북아현-BN0002,파리바게트 옆,126.9563663,37.5590543
충현동-1,서대문역 5호선 신라스테이 앞 교통섬,126.9670501,37.5661632
충현동-2,충정로5호선역사,126.9626152,37.5602032
충현동-3,충정로2호선역사,126.9636086,37.5594786
충현동-4,충정로역 10번출구 교통섬,120.0,30.0
충현동-5,명수어린이공원 맞은편 보도,126.9522784,37.5621097
충현동-6,이화여대 ROTC관 주변 보도,126.9478074,37.563174
충현-BN002,이마트24편의점 맞은편,126.9535822,37.5641465
충현-BN0001,충정로역 10번출구 ,126.9625086,37.5593434
신촌동-1,연세대학교 정문 좌측 횡단보도,126.936848,37.5603037
신촌동-2,연세대학교 정문 우측 앞 횡단보도,126.9371938,37.5602552
신촌동-3,연대앞  건너편 좌측,126.9371329,37.5598183
신촌동-4,연대앞  건너편 우측 횡단보도,126.9366726,37.5598255
신촌동-5,신촌 메가박스 앞 횡단보도,126.9421108,37.5597109
신촌동-6,앞  횡단보도,126.9345323,37.5561503
신촌동-7,세브란스 병원 앞  횡단보도,126.9391741,37.5602871
신촌동-8,신촌장로교회 앞 횡단보도,126.931314,37.557181
신촌동-9,연대앞 정문 암병원 입구,126.9381702,37.560245
신촌동-10,마스터빌딩,126.9270444,37.558999
연희동-1,하나은행 건너편 횡단보도,126.9310877,37.5668583
연희동-2,우리은행 연희동 지점,126.9322834,37.5687759
연희동-3,,126.9181507,37.5678457
연희동-4,,126.9178297,37.5680378
연희-BN001,삼보셀프주유소 ,126.9292331,37.5650862
연희-BN0002,삼보셀프 주유소,126.9293994,37.5652244
연희-BN0003,삼보셀프주유소,126.9296461,37.5648332
연희-BN0004,삼보셀프주유소,126.9295496,37.5647779
연희-BN0005,스타벅스 연희동점,126.929732,37.5655497
연희-BN0006,대우아파트 정류장 앞 ,126.9278571,37.5625391
홍제1동-1,고은초교 건너편 홍제센트레빌 정문 우측,126.9441664,37.5848384
홍제1동-2,고은초교 앞 홍제 센트레빌 정문 좌측,126.9440712,37.5846623
홍제1동-3,화인빌딩 앞 횡단보도,126.9466724,37.5862703
홍제1동-4,우리은행 앞 횡단보도,126.9479337,37.58503
홍제1동-5,고은초등학교 앞 횡단보도,126.9439491,37.5847418
홍제1동-6,,126.9414315,37.5911419
홍제1동-7,kt앞 횡단보도,120.0,35.0
홍제1동-8,홍제파출소 앞 횡단보도,120.0,35.0
홍제1-BN001,무악재역 3번 출구 횡단보도,126.9502872,37.5823824
홍제1-BN002,무악재역 4번출구,126.9500175,37.5825648
홍제1-BN003,무악재역 근처 ,126.94987,37.582737
홍제1-BN004,안산초 정문 앞,126.952343,37.5797356
홍제3동-1,서울여자 간호대학 버스 정류장 앞 횡단보도,126.9487566,37.5958063
홍제3동-2,홍은동종합사회복지관(별관) 앞 횡단보도,126.9479015,37.5941321
홍제3동-3,문화촌 현대아파트 버스정류장 앞 횡단보도,126.9469067,37.5927266
홍제3동-4,앞 횡단보도,126.9449178,37.5919363
홍제3동-5,홍제역 2번 출구 앞 횡단보도,126.9447702,37.5884936
홍제3동-6,문화촌 교회 앞  횡단보도,126.9494492,37.5965329
홍제3동-7,인왕시장 입구,120.0,35.0
홍제2동-1,LG 유플러스 앞 횡단보도,126.9469622,37.5864776
홍제2동-2,잔피엘 상점 앞  횡단보도,126.9489264,37.5846212
홍제2동-3,,126.9507581,37.5819207
홍제2동-4,수입주방앞 횡단보도,120.0,35.0
홍제2동-5,무악청구3차아파트 입구 보도,126.9521269,37.5804714
홍제2-BN001,주재근베이커리 무악점,126.9482419,37.5852749
홍은1동-1,앞 횡단보도,126.9416486,37.591632
홍은1-BN001,미소공인중개사무소 맞은편(북한산 두산위브 아파트 사거리),126.9465441,37.5976634
카페폭포-1,홍제폭포카페 ,126.9369873,37.5815467
카페폭포-2,홍제폭포카페 ,126.9369927,37.5815467
홍은2동-1,홍은사거리 신영동물병원 앞 횡단보도,126.9411496,37.5915706
홍은2동-2,동신병원 사거리 앞 횡단보도,126.9362001,37.5812878
홍은2동-3,현대교통 종점 건너편 횡단보도,126.9302975,37.5778536
홍은2동-4,앞 횡단보도,126.9306547,37.5783064
홍은2동-5,동신병원사거리  교통섬,126.9363812,37.5821158
홍은2동-6,맞은편 횡단보도 앞,120.0,35.0
홍은2-BN002,등촌샤브칼국수 맞은편 보도,126.9284416,37.5772324
홍은2-bn0003,카페폭포 옆 정류장 ,126.936872,37.5822077
남가좌1동-1,가재울 어린이 공원 앞 횡단보도,126.9162121,37.5734985
남가좌1동-2,가좌연세병원 앞 횡단보도,126.9167348,37.5686058
남가좌1동-3,가좌역 앞 횡단보도,126.9154487,37.5688145
남가좌1동-4,105동 앞 횡단보도,126.9149443,37.5724171
남가좌1동-5,205동 앞 횡단보도,126.9147769,37.5725892
남가좌1동-6,사천교 앞 횡단보도 ,126.9174277,37.5682329
남가좌1동-7,207동 앞 횡단보도,126.9161603,37.5737862
남가좌1동-8,108동 앞 횡단보도,126.91662,37.5738494
남가좌1동-9,201동 앞 스타벅스 앞 횡단보도,126.916815,37.5750607
남가좌1동-10,,126.9129814,37.5703572
남가좌1동-11,가재울초등학교 정문 앞,126.9187514,37.57329
남가좌1동-12,,126.9188798,37.5733983
남가좌1동-13,201동 리안헤어 맞은편 교통섬,126.9172168,37.5748082
남가좌1-BN001,가재울홈마트 맞은편 보도 ,126.917325,37.5705227
남가좌1-BN002,이마트에브리데이 남가좌점 맞은편 보도,126.9163247,37.5710592
남가좌1-BN003,가재울어린이공원 앞 횡단보도,126.9190353,37.5739451
남가좌2동-1,앞 횡단보도,126.9180545,37.5749934
남가좌2동-2,207동 앞 횡단보도,126.9163192,37.5753439
남가좌2동-3,롯데마트(수퍼) 앞 ,126.9214235,37.5779137
남가좌2동-4,명지대 사거리 농협하나로 마트 앞 횡단보도,126.9212911,37.5777913
남가좌2동-5,DMC에코자이 103동 앞 횡단보도,126.9198246,37.5767282
남가좌2동-6,레미안루센티아 110동 앞 횡단보도,126.9148914,37.575196
남가좌2동-7,,126.9176311,37.5789956
남가좌2동-8,,126.9189363,37.5759881
남가좌2동-9,,126.9191025,37.5758693
남가좌2동-10,연가초등학교 후문,120.0,35.0
남가좌2동-10,푸른약국 맞은편 교통섬,126.9211615,37.5774467
남가좌2동-11,기영이두마리치킨 맞은편 보도,126.920824,37.5771626
남가좌2-BN002,명지대학교(보그헤어 맞은편),126.9225866,37.5787876
남가좌2-BN0001,명지대학교 정문 ,126.9240832,37.579455
북가좌1동-1,401동 앞 횡단보도,126.9096918,37.5776257
북가좌1동-2,북가좌삼거리 중앙목재 앞 횡단보도,126.9059929,37.5745225
북가좌1동-3,3단지 앞 횡단보도,126.9063099,37.5743827
북가좌1동-4,성공타워 앞 횡단보도,126.9127433,37.5705371
북가좌1동-5,증산교 사거리 횡단보도,126.9032013,37.5765916
북가좌1동-6,,126.9095439,37.5778617
북가좌1동-7,북가좌1동주민센터 앞,126.910466,37.57422
북가좌1동-8,횡단보도,126.908595,37.576832
북가좌1-BN001,증산교사거리 현대아파트쪽 보도,126.9043908,37.5762947
북가좌1-BN002,더벤티(또는 맘스터치) 부근 횡단보도,126.9113937,37.5761942
북가좌1-BN003,장어세상 앞(또는 블루핸즈 맞은편) 횡단보도,126.9051609,37.5755772
북가좌2동-1,예성치과 앞 횡단보도,126.9131612,37.5826351
북가좌2-BN001,자연드림(또는 GS25) 부근 보도,126.9146807,37.576359
